# MESSOS ENTERPRISES LTD - REAL HOLDINGS EXTRACTION
# Generated: 7/11/2025
# Total Holdings: 40
# Total Value: 3,047,906,296,918

Position,Security Name,ISIN,Current Value,Currency,Category,Source,Additional Info
19,"BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S ISIN: XS2953741100 // Valorn .: 138494467 Zero Bonds // Maturity: 11.12.2034 YTM: 5.28 // PRC: 5.00",XS2953741100,146625,USD,Securities,Azure Table,"USD 150'000 BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S ISIN: XS2953741100 // Valorn .: 138494467 "
20,"JPMORGAN CHASE 0% NOTES 2024-19.12.2034 ISIN: XS2381717250 // Valorn .: 128883267 Zero Bonds // Maturity: 19.12.2034 PRC: 5.00",XS2381717250,505500,USD,Securities,Azure Table,"USD 500'000 JPMORGAN CHASE 0% NOTES 2024-19.12.2034 ISIN: XS2381717250 // Valorn .: 128883267 Zero B"
21,"GOLDMAN SACHS 0% NOTES 2025-03.02.2035 ISIN: XS2481066111 // Valorn .: 126294402 Zero Bonds // Maturity: 03.02.2035 YTM: 0.10 // PRC: 5.00",XS2481066111,49500,USD,Securities,Azure Table,"USD 50'000 GOLDMAN SACHS 0% NOTES 2025-03.02.2035 ISIN: XS2481066111 // Valorn .: 126294402 Zero Bon"
22,"DEUTSCHE BANK 0 % NOTES 2025-14.02.35 ISIN: XS2964611052 // Valorn .: 141235167 Zero Bonds // Maturity: 14.02.2035 YTM: 5.41 // PRC: 5.00",XS2964611052,1480584,USD,Securities,Azure Table,"USD 1'470'000 DEUTSCHE BANK 0 % NOTES 2025-14.02.35 ISIN: XS2964611052 // Valorn .: 141235167 Zero B"
23,"WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36 REG S ISIN: XS3035947103 // Valorn .: 143578751 Ordinary Bonds // Maturity: 28.03.2036 PRC: 5.00",XS3035947103,800000,USD,Securities,Azure Table,"USD 800'000 WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36 REG S ISIN: XS3035947103 // Valorn "
24,"PREMIUM ALT.S.A. SICAV-SIF - COMMERCIAL FINANCE
SP ISIN: LU2228214107 // Valorn .: 57282891 Bond Funds / Certificates PRC: 3.00",LU2228214107,115613,USD,Securities,Azure Table,"USD 2'581.79 PREMIUM ALT.S.A. SICAV-SIF - COMMERCIAL FINANCE
SP ISIN: LU2228214107 // Valorn .: 5728"
25,"BK JULIUS BAER CAP.PROT.(3,25% MIN.4,5% MAX)23-26.05.28 VRN ISIN: CH1269060229 // Valorn .: 126906022 Structured Bonds // Maturity: 26.05.2028 Coupon: 26.5 // Quarterly 3.25% // Days: 33 PRC: 3.00 Pri",CH1269060229,3426431043,USD,Securities,Azure Table,"USD 350'000 BK JULIUS BAER CAP.PROT.(3,25% MIN.4,5% MAX)23-26.05.28 VRN ISIN: CH1269060229 // Valorn"
26,"ISIN: XS0461497009 // Valorn .: 130269069",XS0461497009,14969,USD,Securities,Azure Table,"  ISIN: XS0461497009 // Valorn .: 130269069     14'969 "
27,"SOCIETE GENERALE 32.46 % NOTES 2024-01.03.30 REG S ISIN: XS2746319610 // Valorn .: 133393503 Ordinary Bonds // Maturity: 01.03.2030 Coupon: Annual 32.46% // Days: 385 // YTM: 16.79 PRC: 5.00",XS2746319610,19210048600,USD,Securities,Azure Table,"USD 140'000 SOCIETE GENERALE 32.46 % NOTES 2024-01.03.30 REG S ISIN: XS2746319610 // Valorn .: 13339"
28,"ISIN: CH0244767585 // Valorn .: 24476758",CH0244767585,0,USD,Securities,Azure Table,"  ISIN: CH0244767585 // Valorn .: 24476758 1.1340 1.1313  -87.87%  "
29,"BCO SAFRA CAYMAN 5% STRUCT.NOTE 2022-21.06.27
CITD 26 ISIN: XS2519369867 // Valorn .: 121050656 Other convertible bonds // Maturity: 21.06.2027 Days: 9 // PRC: 5.00",XS2519369867,196221250,USD,Securities,Azure Table,"USD 200'000 BCO SAFRA CAYMAN 5% STRUCT.NOTE 2022-21.06.27
CITD 26 ISIN: XS2519369867 // Valorn .: 12"
30,"BNP PARIBAS ISS STRUCT.NOTE 21-08.01.29 ON DBDK 29
ISIN: XS2315191069 // Valorn .: 111918998 Structured Bonds // Maturity: 08.01.2029 Days: 82 // PRC: 5.00 Price to be verified",XS2315191069,5023057305,USD,Securities,Azure Table,"USD 500'000 BNP PARIBAS ISS STRUCT.NOTE 21-08.01.29 ON DBDK 29
ISIN: XS2315191069 // Valorn .: 11191"
31,"CITIGROUP ISIN: XS2792098779 // Valorn .: 140288136 Structured Bonds // Maturity: 02.12.2034 // PRC: 5.00 Price to be verified",XS2792098779,1154316,USD,Securities,Azure Table,"USD 1'200'000 CITIGROUP ISIN: XS2792098779 // Valorn .: 140288136 Structured Bonds // Maturity: 02.1"
32,"EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN WELLS F. ISIN: XS2714429128 // Valorn .: 130738882 Structured Bonds // Maturity: 17.09.2029 Days: 195 // PRC: 5.00 Price to be verified",XS2714429128,70406420343,USD,Securities,Azure Table,"USD 690'000 EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN WELLS F. ISIN: XS2714429128 // Valorn "
33,"GOLDMAN SACHS GR.STRUCT.NOTE 21-20.12.28 VRN ON
34 ISIN: XS2105981117 // Valorn .: 114118068 Structured Bonds // Maturity: 20.12.2028 Days: 10 // PRC: 4.00 Price to be verified",XS2105981117,484457757,USD,Securities,Azure Table,"USD 500'000 GOLDMAN SACHS GR.STRUCT.NOTE 21-20.12.28 VRN ON
34 ISIN: XS2105981117 // Valorn .: 11411"
34,"LUMINIS 5.7% STR NOTE 2024-26.04.33 WFC 24W ISIN: XS2838389430 // Valorn .: 135968317 Structured Bonds // Maturity: 26.04.2033 Days: 279 // PRC: 5.00 Price to be verified",XS2838389430,162396070680,USD,Securities,Azure Table,"USD 1'600'000 LUMINIS 5.7% STR NOTE 2024-26.04.33 WFC 24W ISIN: XS2838389430 // Valorn .: 135968317 "
35,"LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625% RABOBANK 29 ISIN: XS2631782468 // Valorn .: 127708275 Structured Bonds // Maturity: 25.05.2029 Days: 19 // PRC: 5.00 Price to be verified Underlying: FED",XS2631782468,4888661416,USD,Securities,Azure Table,"USD 500'000 LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625% RABOBANK 29 ISIN: XS2631782468 // Valorn "
36,"NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE 21 SRN ISIN: XS1700087403 // Valorn .: 39877135 Structured Bonds // Maturity: 20.06.2026 // PRC: 5.00 Price to be verified",XS1700087403,98672,USD,Securities,Azure Table,"USD 100'000 NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE 21 SRN ISIN: XS1700087403 // Valorn ."
37,"NOVUS CAPITAL CREDIT LINKED NOTES 2023-27.09.2029 ISIN: XS2594173093 // Valorn .: 125443809 Structured Bonds // Maturity: 27.09.2029 Days: 33 // PRC: 5.00 Price to be verified",XS2594173093,1934641044,USD,Securities,Azure Table,"USD 200'000 NOVUS CAPITAL CREDIT LINKED NOTES 2023-27.09.2029 ISIN: XS2594173093 // Valorn .: 125443"
38,"NOVUS CAPITAL STRUCT.NOTE 2021-12.01.28 VRN ON NATWEST GROUP ISIN: XS2407295554 // Valorn .: 114718568 Structured Bonds // Maturity: 12.01.2028 Days: 78 // PRC: 5.00 Price to be verified",XS2407295554,5101146514,USD,Securities,Azure Table,"USD 500'000 NOVUS CAPITAL STRUCT.NOTE 2021-12.01.28 VRN ON NATWEST GROUP ISIN: XS2407295554 // Valor"
39,"ISIN: XS2252299883 // Valorn .: 58001077 Structured products equity // Maturity: 15.05.2026 // PRC: 5.00 Price to be verified Underlying: INTERBK LIBOR 3 MTH",XS2252299883,0,USD,Securities,Azure Table," ISIN: XS2252299883 // Valorn .: 58001077 Structured products equity // Maturity: 15.05.2026 // PRC:"
40,"EXIGENT ENHANCED INCOME FUND LTD SHS A SERIES
R ISIN: XD0466760473 // Valorn .: 46676047 Hedge Funds & Private Equity // PRC: 5.00 Price to be verified",XD0466760473,26129,USD,Securities,Azure Table,"USD 204.071 EXIGENT ENHANCED INCOME FUND LTD SHS A SERIES
R ISIN: XD0466760473 // Valorn .: 46676047"
